lema_pt	traducao_en	marcas_dicionario	motivo_tecnico	status_traducao
absorto	abstracted	adj. | lat.		
absorto	absent-minded	adj. | lat.		
absorvedoiro	absorbent	m.		
absorvedor	absorber	m. e adj.		
absorvedor	absorbing	m. e adj.		
absorvedor	absorbent	m. e adj.		
absorvedouro	absorbent	m.		
absorvência	absorbency	f.		
absorvência	absorptiveness	f.		
absorvente	absorbent	m. e adj. | lat.		
absorvente	absorbing	m. e adj. | lat.		
absorvente	adsorbent	m. e adj. | lat.		
absorvente	engrossing	m. e adj. | lat.		
absorvente	bibulous	m. e adj. | lat.		
absorvente	adsorbing	m. e adj. | lat.		
absorvente	spongy	m. e adj. | lat.		
absorvente	overmastering	m. e adj. | lat.		
absorver	absorb	v. | t. | p. | lat.		
absorver	soak up	v. | t. | p. | lat.		
absorver	soak	v. | t. | p. | lat.		
absorver	imbibe	v. | t. | p. | lat.		
absorver	adsorb	v. | t. | p. | lat.		
absorver	assimilate	v. | t. | p. | lat.		
absorver	swallow	v. | t. | p. | lat.		
absorver	drink	v. | t. | p. | lat.		
absorver	engross	v. | t. | p. | lat.		
absorver	occupy	v. | t. | p. | lat.		
absorver	engorge	v. | t. | p. | lat.		
absorver	impregnate	v. | t. | p. | lat.		
absorver	occlude	v. | t. | p. | lat.		
absorvimento	absorption	m.		
absôrvo	absolve	m.		
abstemia	abstinence	f.		
abstêmico	abstemious	adj.		
abstêmio	teetotaler	adj. | m. | lat.		
abstêmio	abstemious	adj. | m. | lat.		
abstêmio	abstainer	adj. | m. | lat.		
abstêmio	teetotal	adj. | m. | lat.		
abstêmio	temperate	adj. | m. | lat.		
abstêmio	abstentious	adj. | m. | lat.		
abstêmio	blueribbonist	adj. | m. | lat.		
abstenção	abstention	f. | lat.		
abstenção	forbearance	f. | lat.		
abstencionista	abstainer	m. | Cf. | pol.		
abster	abstain	v. t. | V. | p. | v. i. | Cf. | lat.		
abstergência	abstinence	f.		
abstergente	abstergent	adj. | lat.		
absterger	abstain	v. t. | lat.		
abstero	abstain	adj. | Ant.		
abstersão	abstersion	f. | lat.		
abstersivo	abstergent	adj. | m.		
absterso	abstain	adj. | lat.		
abstinência	abstinence	f. | lat.		
abstinência	abstention	f. | lat.		
abstinência	fasting	f. | lat.		
abstinência	fast	f. | lat.		
abstinente	abstinent	adj. | lat.		
abstinente	abstentious	adj. | lat.		
abstracção	abstraction	f. | lat.		
abstractamente	abstractly	adv.		
abstractivo	abstractive	adj.		
abstracto	abstract	adj. | m. | lat.		
abstrahimento	abstraction	m. | Cf.		
abstrahir	abstract	v. t. | v. i. | V. | p. | lat.		
abstraimento	abstraction	m. | Cf.		
abstrair	abstract	v. t. | v. i. | V. | p. | lat.		
abstrair	prescind	v. t. | v. i. | V. | p. | lat.		
abstrusamente	abstrusely	adv.		
abstrusidade	abstruness	f.		
abstruso	abstruse	adj. | lat.		
abstruso	recondite	adj. | lat.		
absumir	abscond	v. t. | des. | lat.		
absumpção	abstention	f. | lat.		
absurdamente	absurdly	adv.		
absurdeza	absurdity	f. | Cf.		
absurdo	absurd	adj. | m. | lat.		
absurdo	nonsense	adj. | m. | lat.		
absurdo	absurdity	adj. | m. | lat.		
absurdo	preposterous	adj. | m. | lat.		
absurdo	nonsensical	adj. | m. | lat.		
absurdo	ridiculous	adj. | m. | lat.		
absurdo	ludicrous	adj. | m. | lat.		
absurdo	foolish	adj. | m. | lat.		
absurdo	incongruous	adj. | m. | lat.		
absurdo	inept	adj. | m. | lat.		
absurdo	irrational	adj. | m. | lat.		
absurdo	unreason	adj. | m. | lat.		
absurdo	monstrous	adj. | m. | lat.		
absurdo	impertinent	adj. | m. | lat.		
absurdo	bloodcurdling	adj. | m. | lat.		
absurdo	ragtime	adj. | m. | lat.		
absurdo	ill-placed	adj. | m. | lat.		
abu	abus	m.		
abuçar	abuse	v. t. | Gír.		
abugão	bugão	m. | Prov. minh.		
abujão	abujão	m. | lat.		sem_traducao
abular	abular	v. t. | V. | p.		sem_traducao
abulia	abulia	f. | gr.		sem_traducao
abulia	apathy	f. | gr.		
abúlico	abulic	adj.		
abullar	abullar	v. t. | V. | p.		sem_traducao
abuna	Abuna	m. | Bras.		sem_traducao
abundamento	abundance	m. | Ant.		
abundância	abundance	f. | lat.		
abundância	plenty	f. | lat.		
abundância	galore	f. | lat.		
abundância	fullness	f. | lat.		
abundância	affluence	f. | lat.		
abundância	glut	f. | lat.		
abundância	oodles	f. | lat.		
abundância	lashings	f. | lat.		
abundância	quantity	f. | lat.		
abundância	prosperity	f. | lat.		
abundância	fulness	f. | lat.		
abundância	flush	f. | lat.		
abundância	opulence	f. | lat.		
abundância	thickness	f. | lat.		
abundância	ampleness	f. | lat.		
abundância	fleshpots	f. | lat.		
abundância	amplitude	f. | lat.		
abundância	load	f. | lat.		
abundante	abundant	adj. | ﬁg.		
abundante	plentiful	adj. | ﬁg.		
abundante	plenty	adj. | ﬁg.		
abundante	copious	adj. | ﬁg.		
abundante	rich	adj. | ﬁg.		
abundante	large	adj. | ﬁg.		
abundante	profuse	adj. | ﬁg.		
abundante	ample	adj. | ﬁg.		
abundante	generous	adj. | ﬁg.		
abundante	plenteous	adj. | ﬁg.		
abundante	full	adj. | ﬁg.		
abundante	teeming	adj. | ﬁg.		
abundante	bounteous	adj. | ﬁg.		
abundante	affluent	adj. | ﬁg.		
abundante	numerous	adj. | ﬁg.		
abundante	prolific	adj. | ﬁg.		
abundante	liberal	adj. | ﬁg.		
abundante	frequent	adj. | ﬁg.		
abundante	opulent	adj. | ﬁg.		
abundante	flush	adj. | ﬁg.		
abundante	unsparing	adj. | ﬁg.		
abundante	philoprogenitive	adj. | ﬁg.		
abundante	wanton	adj. | ﬁg.		
abundante	lumping	adj. | ﬁg.		
abundante	chock-full	adj. | ﬁg.		
abundante	thick-set	adj. | ﬁg.		
abundantemente	abundantly	adv.		
abundantemente	profusely	adv.		
abundantemente	galore	adv.		
abundar	abound	v. | fam. | lat.		
abundar	teem	v. | fam. | lat.		
abundar	exuberate	v. | fam. | lat.		
abundar	swarm	v. | fam. | lat.		
abundidade	abundance	f. | Cf.		
abundosamente	abundantly	adv.		
abundoso	abundant	adj. | Ant. | Cf.		
abunhadio	abunhadio	m.		sem_traducao
abunhado	flocked	m.		
abunhar	abunhar	v. i.		sem_traducao
abur!	abur!	interj. | Prov. trasm.		sem_traducao
aburacar	to burrow	v. t. | V.		
aburelar	aburela	v. t.		
aburguesado	bourgeois	adj.		
aburguesar-se	to become bourgeois	v. p.		
aburrar	to bore	v. t. | des.		
aburrinhar	annoy	v. i. | prov. | dem.		
abusamento	abuse	m. | Prov. alent.		
abusão	abuse	f. | lat.		
abusar	abuse	v. i.		
abusar	encroach	v. i.		
abusar	run down	v. i.		
abusivamente	abusively	adv.		
abusivo	abusive	adj. | lat.		
abuso	abuse	m.		
abuso	misuse	m.		
abuso	violence	m.		
abuso	overindulgence	m.		
abuso	trespass	m.		
abuso	inroad	m.		
abuso	ill-use	m.		
abuta	abuta	f. | Ant.		sem_traducao
abutilão	abutilão	m.		sem_traducao
abutilo	butilo	m.		
abutiloide	butyloid	f. | fam.		
abutre	vulture	m. | ﬁg. | lat.		
abutre	griffon	m. | ﬁg. | lat.		
abutre-fusco	dark vulture	m. | Cf. | p. | Zool.	termo_tecnico_cientifico:Zool.	
abutreiro	vulture	m.		
abútua	abuta	f.		
abutumado	butumado	adj. | Cf.		
abuzinado	honked	adj.		
abuzinar	honk	v. i.		
abysmo	abyss	m. | der. | V.		
abyssal	abyssal	Adj. | as.		sem_traducao
abyssínio	Abyssinian	m.		
abysso	abyss	m. | gr.		
acá	here	m.		
aca	aca	m. | Bras.		sem_traducao
aca	aca	f. | t. | port.		sem_traducao
acabaçar	finish	v. t.		
acabadamente	completely	adv.		
acabadiço	finished	adj. | Cf.		
acabado	finished	adj. | fam. | m.		
acabado	done	adj. | fam. | m.		
acabado	out	adj. | fam. | m.		
acabado	accomplished	adj. | fam. | m.		
acabado	past	adj. | fam. | m.		
acabado	thoroughgoing	adj. | fam. | m.		
acabado	crowned	adj. | fam. | m.		
acabado	thoroughpaced	adj. | fam. | m.		
acabador	finisher	m.		
acabadote	finished	adj.		
acabamento	finish	m.		
acabamento	finishing	m.		
acabamento	workmanship	m.		
acabamento	completion	m.		
acabamento	complement	m.		
acabamento	consummation	m.		
acabanado	finished	adj. | prov.		
acabar	to finish	v. t. | v. i. | loc. conj. | Cf. | ed.		
acabar	end	v. t. | v. i. | loc. conj. | Cf. | ed.		
acabar	finish	v. t. | v. i. | loc. conj. | Cf. | ed.		
acabar	terminate	v. t. | v. i. | loc. conj. | Cf. | ed.		
acabar	cease	v. t. | v. i. | loc. conj. | Cf. | ed.		
acabar	expire	v. t. | v. i. | loc. conj. | Cf. | ed.		
acabar	conclude	v. t. | v. i. | loc. conj. | Cf. | ed.		
acabar	squelch	v. t. | v. i. | loc. conj. | Cf. | ed.		
acabar	phase out	v. t. | v. i. | loc. conj. | Cf. | ed.		
acabar	consummate	v. t. | v. i. | loc. conj. | Cf. | ed.		
acabar	round	v. t. | v. i. | loc. conj. | Cf. | ed.		
acabar	carry through	v. t. | v. i. | loc. conj. | Cf. | ed.		
acabar	buzz	v. t. | v. i. | loc. conj. | Cf. | ed.		
acabellar	acabellar	v. i. | der. | V.		sem_traducao
acaboclado	mixed-race	adj.		
acabramar	acabramar	v. t. | des. | Cp.		sem_traducao
acabramo	we finished	m.		
acabrunhadamente	dejectedly	adv.		
acabrunhado	dejected	adj.		
acabrunhado	woebegone	adj.		
acabrunhado	depressed	adj.		
acabrunhado	embarrassed	adj.		
acabrunhar	to crush	v. t. | V. | p. | t.		
acabrunhar	embarrass	v. t. | V. | p. | t.		
acabrunhar	distress	v. t. | V. | p. | t.		
acabrunhar	overburden	v. t. | V. | p. | t.		
acacá	acacá	m. | Bras.		sem_traducao
açacal	açacal	m. | Ant. | ár.		sem_traducao
açacaladamente	slowly	adv.		
açacalador	acacalador	m.		sem_traducao
açacaladura	açacaladura	f.		sem_traducao
açacalar	açacalar	v. | t. | ﬁg.		sem_traducao
acaçapadamente	crouching	adv.		
acaçapado	squatting	adj.		
acaçapar	acaçapar	v. t.		sem_traducao
acachafundar	sink	v. t. | pop.		
acachapar	acachapar	v. t.		sem_traducao
acachar	squat	v. t. | V.		
acachoar	acachoar	v. t. | v. i.		sem_traducao
acachuchar	acachuchar	v. | t. | Prov. trasm.		sem_traducao
acácia	acacia	f. | fam. | lat.		sem_traducao
acácia-bastarda	bastard acacia	f.		
acácia-dos-alemães	German acacia	f.		
acacifar	acacifar	v. t.		sem_traducao
açacu	açacu	m.		sem_traducao
acadar	acadar	m. | t. | port.		sem_traducao
acadar	acadar	v. t. | t. | contr.		sem_traducao
acadeirar-se	to sit down	v. p.		
acadêmia	academy	f. | Cp.		
academial	academic	adj. | V.		
academialmente	academically	adj. | V.		
academiar	academy	v. i.		
academicamente	academically	adv.		
acadêmico	academic	adj. | m. | lat.		
acadêmico	academician	adj. | m. | lat.		
acadêmico	academical	adj. | m. | lat.		
acadêmico	scholastic	adj. | m. | lat.		
academista	academic	m.		
acadianos	Akkadians	m. pl.		
acadimar-se	to become an academic	v. | p. | prov.		
acadrimar-se	acadrim-se	v. p.		
acaecente	acaecente	adj. | Ant.		sem_traducao
acaecer	acaecer	v. i. | Ant. | Cp. | lat.		sem_traducao
acaecimento	acaecimento	m.		sem_traducao
açafaitar	açafaitar	v. | t.		sem_traducao
acafanhar	to snatch	v. t. | Prov. minh.		
açafata	acefata	f.		
açafatar	to basket	v. t.		
açafate	basket	m. | ár.		
açafate-de-oiro	golden basket	m. | Bras.		
acafelador	acafelador	m.		sem_traducao
acafeladura	acafeladura	f.		sem_traducao
acafelamento	cafelamento	m.		
acafelar	acafelar	v. t. | cast.		sem_traducao
acafetar	to	v. t. | Cp.		
açaflôr	saffron	m.		
açafões	saffrons	m. pl.		
açafrão	saffron	m. | fam. | ár.		
açafrão	crocus	m. | fam. | ár.		
açafrar	saffron	v. | Ant. | Cp.		
açafrôa	saffron	f.		
açafroado	saffron	adj.		
açafroador	saffron-maker	m.		
açafroal	saffron	m.		
açafroamento	saffron	m.		
açafroar	saffron	v. | t.		
açafroeira	saffron	f.		
açafrôl	saffron	m. | Prov. alg.		
açagador	scouring	m. | Ant. | Cf. | Cp.		
açahi	acai	m.		
açahizeiro	açaí palm	m.		
açaí	açaí	m.		sem_traducao
acaia	acaia	f. | Bras.		sem_traducao
acaico	acaic	adj. | lat.		
açaimar	muzzle	v. | t. | ﬁg.		
açaime	muzzle	m. | V.		
açaimo	muzzle	m. | der. | V.		
acaina	acaina	f. | gr.		sem_traducao
acaio	acaio	adj. | lat.		sem_traducao
acaipirar-se	to become a country bumpkin	v. p. | Bras.		
acairelador	acairelador	m.		sem_traducao
acairelamento	acairelamento	m.		sem_traducao
acairelar	acairelar	v. t.		sem_traducao
acais-a-cajo	acai-a-cajo	loc. adv. | Ant. | corr.		
açaizeiro	açaí palm	m.		
acajá	acajá	m.		sem_traducao
acajadar	acajadar	v. t.		sem_traducao
acaju	mahogany	m. | V.		
acajuadiço	cashew	adj. | Prov. alg.		
acajueiro	cashew tree	m. | V.		
acalacas	acalacas	m.		sem_traducao
acalantho	lullaby	m. | gr.		
acalanto	lullaby	m. | gr.		
acalar	quiet	v. | prov. | Cp.		
acalcanhado	trodden	adj. | ﬁg.		
acalcanhamento	heeling	m.		
acalcanhar	heel	v. t. | v. i. | as.		
acalcar	to crush	v. t.		
acalefologia	acalefology	f.		
acalefos	acalefos	m. pl. | Zool. | gr.	termo_tecnico_cientifico:Zool.	sem_traducao
acalentador	comforting	adj. | Cf.		
acalentar	cherish	v. t. | ﬁg. | lat.		
acalentar	lull	v. t. | ﬁg. | lat.		
acalento	comfort	m.		
acalephologia	acalephology	f.		
acalephos	acalephos	m. pl. | Zool. | gr.	termo_tecnico_cientifico:Zool.	sem_traducao
acalicino	acalicino	adj. | Bot.	termo_tecnico_cientifico:Bot.	sem_traducao
acalifa	acalipha	f. | gr.		
acalipto	ecalyptus	m. | gr.		
acalmação	calming	f.		
acalmamento	calming	m.		
açalmar	açalmar	v. t. | Ant. | Cf.		sem_traducao
acalmia	calm	f. | Med. | Cf.	termo_tecnico_cientifico:Med.	
acalmia	mollification	f. | Med. | Cf.	termo_tecnico_cientifico:Med.	
acalmópteros	calm-particles	m. pl. | qual.		
açaloiado	azaloiado	adj.		
acalorar	heat up	v. t.		
acalorar	heat	v. t.		
acalorar	inflame	v. t.		
açalpão	trapdoor	m. | Bras. | metáth.		
acalypha	acalypha	f. | gr.		sem_traducao
acalypto	apocalypto	m. | gr.		
acamacu	acamacu	m.		sem_traducao
açamado	scouring	adj. | ﬁg.		
açamar	açamar	v. | t. | ﬁg.		sem_traducao
acamaradar-se	to become friends	v. t.		
açamarrado	tied	adj.		
açamarrar-se	to tie oneself up	v. p.		
açambarcadeira	hoarder	f. | Prov. minh.		
açambarcador	hoarder	m. e adj.		
açambarcador	grasper	m. e adj.		
açambarcagem	hoarding	f.		
açambarcamento	hoarding	m.		
açambarcar	hoard	v. t.		
açambarcar	monopolize	v. t.		
açambarcar	engross	v. t.		
açambarcar	corner	v. t.		
açambarcar	appropriate	v. t.		
acamboar	acamboar	v. t.		sem_traducao
acambolhado	stumbling	adj.		
açame	tassel	m.		
açamo	muzzle	m.		
acamonia	acamonia	f. | Bras.		sem_traducao
açamoucado	muzzled	m.		
acampainhar	camping	v. t.		
acampamento	camping	m.		
acampamento	camp	m.		
acampamento	encampment	m.		
acampamento	camping site	m.		
acampamento	laager	m.		
acampamento	decampment	m.		
acampar	camping	v. | t. | v. i. | p.		
acampar	camp	v. | t. | v. i. | p.		
acampar	encamp	v. | t. | v. i. | p.		
acampar	pitch	v. | t. | v. i. | p.		
acampar	maroon	v. | t. | v. i. | p.		
acampsia	camping	f. | Med.	termo_tecnico_cientifico:Med.	
acampto	camp	m. | Phýs. | gr.	termo_tecnico_cientifico:Phýs.	
acamptosomos	acamptosomes	m. pl. | Zool. | gr.	termo_tecnico_cientifico:Zool.	
acamurçado	suede	adj.		
acamurçar	suede	v. t.		
açan	açan	m. | Prov. trasm.		sem_traducao
acanadas	acanadas	f. pl. | Bot.	termo_tecnico_cientifico:Bot.	sem_traducao
acanalado	channeled	adj.		
acanalador	pipe cleaner	adj.		
acanaladura	canalization	f.		
acanalar	canalar	v. t.		
acanalhado	despicable	adj.		
acanalhar	to degrade	v. t. | V. | p. | Cf.		
acanaveado	reeds	adj. | ﬁg.		
acanaveadura	cane	f.		
acanavear	sugarcane	v. t. | as. | fam.		
açancalhar	to get squeezable	v. t. | Prov. beir. | mal. | v. i. | t.		
açancanhar	to snatch	v. t. | Prov. trasm. | v. i.		
acanelado	cinnamon	adj.		
acanelado	ribbed	adj.		
acaneladura	acaneladura	f. | V.		sem_traducao
acanelar	groove	v. t.		
acanelar	flute	v. t.		
acanga	acanga	f.		sem_traducao
açanganhar	açanganhar	v. t.		sem_traducao
acanhadamente	timidly	adv.		
acanhado	cramped	adj. | ﬁg.		
acanhado	sheepish	adj. | ﬁg.		
acanhado	skimpy	adj. | ﬁg.		
acanhado	shy	adj. | ﬁg.		
acanhado	narrow	adj. | ﬁg.		
acanhado	timid	adj. | ﬁg.		
acanhado	demure	adj. | ﬁg.		
acanhado	shamefaced	adj. | ﬁg.		
acanhado	poky	adj. | ﬁg.		
acanhado	backward	adj. | ﬁg.		
acanhado	scrimpy	adj. | ﬁg.		
acanhado	gauche	adj. | ﬁg.		
acanhado	diffluent	adj. | ﬁg.		
acanhado	hidebound	adj. | ﬁg.		
acanhado	scary	adj. | ﬁg.		
acanhado	poor-spirited	adj. | ﬁg.		
acanhado	sheep-faced	adj. | ﬁg.		
acanhador	cramped	m. e adj.		
acanhamento	shyness	m.		
acanhamento	diffidence	m.		
acanhar	shy	v. t. | ﬁg.		
acanho	shy	m. | Cf.		
acanhoar	shy	v. t.		
acanhonear	to shy away	v. t.		
acanhotado	shy	adj. | Gír. | Prov. minh.		
acanonicamente	acanonically	adv.		
acanónico	acanonical	adj.		
acanonista	canonist	m.		
acantábalo	acantabale	m. | gr.		
acantáceas	acanthaceae	f. pl.		
acanteirado	bedded	adj.		
acanteirar	to build a bed	v. t.		
acanthábalo	acanthábalo	m. | gr.		sem_traducao
acantháceas	acanthaceae	f. pl.		
acanthia	acanthia	f. | gr.		sem_traducao
acanthião	acanthião	m. | gr.		sem_traducao
acantho	acantho	m. | gr.		sem_traducao
acanthocárpio	acanthocarp	adj. | gr.		
acanthocéphalos	acanthocéphalos	m. pl. | gr.		sem_traducao
acanthocládio	acanthocladium	adj. | gr.		
acanthodáctylos	acanthodactylos	m. | pl. | gr.		sem_traducao
acanthómetro	acanthometer	m. | gr.		
acanthóphago	acanthophagous	adj. | gr.		
acanthóphoro	acanthophore	adj. | gr.		
acanthópio	acanthopio	adj. | gr.		sem_traducao
acanthopomos	acanthopomos	m. pl. | gr.		sem_traducao
acanthopterygiano	acanthopterygian	adj.		
acanthopterygio	acanthopterygium	adj. | pl. | gr.		
acanthorinas	acanthorinas	f. | pl. | gr.		sem_traducao
acanthospermo	acanthosperm	m. | gr.		
acanthura	acanthura	m. | gr.		sem_traducao
acantia	acanthia	f. | gr.		
acantião	acanthion	m. | gr.		
acanto	acanthus	m. | gr.		
acantoameato	acanthoameato	m.		
acantoar	camp	v. t.		
acantocárpio	acanthocarp	adj. | gr.		
acantocéfalos	acanthocephalans	m. | pl. | gr.		
acantochanado	acantochanado	adj. | Mús.		sem_traducao
acantocládio	acanthocladium	adj. | gr.		
acantodáctilos	acanthodactyls	m. pl. | gr.		
acantófago	acanthophagous	adj. | gr.		
acantóforo	acanthophore	adj. | gr.		
acantómetro	acanthometer	m. | gr.		
acantonamento	encampment	m.		
acantonamento	cantonment	m.		
acantonar	camp	v. t.		
acantonar	canton	v. t.		
acantópio	acantopia	adj. | gr.		
acantopomos	acanthopomes	m. pl. | gr.		
acantopterigiano	acanthopterygian	adj.		
acantopterígio	acanthopterygium	adj. | pl. | gr.		
acantorinas	acantorinas	f. pl. | gr.		sem_traducao
acantospermo	acanthosperm	m. | gr.		
acantura	acantura	m. | gr.		sem_traducao
acanular	acannular	v. t.		
açapar	cinder	v. t. | pop.		
acaparrar	acaparrar	v. | t. | Prov. trasm.		sem_traducao
acapelado	capped	adj. | pop. | Ant. | des. | Cf. | diccion.		
acapelar	hat	v. t.		
acapelar	hat	v. t. | des. | Cf. | diccion. | or.		
acapellar	a cappella	v. t.		
acapitular	acapitular	v. t.		sem_traducao
acapna	acapna	f. | gr.		sem_traducao
acapnia	acapnia	f. | Med. | gr.	termo_tecnico_cientifico:Med.	sem_traducao
acapno	acapno	adj. | as. | gr.		sem_traducao
acapu	acapu	m.		sem_traducao
acapu-rana	acapu-rana	m.		sem_traducao
açar	açar	suf.		sem_traducao
acará	acara	m. | Bras.		sem_traducao
acará	acara	m. | Bras.		sem_traducao
acarajé	Shrimp bean ball	m. | Bras.		
acaramelado	caramelized	adj.		
acaramular	acaramular	v. t. | prov. | v. i.		sem_traducao
acarangado	caring	adj.		
acarão	mite	adv. | Ant.		
acarapinhar	acarapinhar	v. t. | V.		sem_traducao
acarar	acarar	v. t. | V.		sem_traducao
acaraúba	acarauba	f.		sem_traducao
açarçalhar	to lasso	v. | t. | Prov. minh.		
acarda	card	f. | lat.		
acardia	acardia	f. | gr.		sem_traducao
acardíaco	acardiac	adj. | Terat. | gr.	termo_tecnico_cientifico:Terat.	
acarditar	acardiate	v. t. | pop.		
acardumar-se	to cluster together	v. p.		
acareação	confrontation	f.		
acareador	face-keeper	adj.		
acareamento	confrontation	m.		
acareante	caressing	adj.		
acarear	confront	v. t. | as.		
acarear	confront	v. t. | Cf. | V. | id. | Prov. minh.		
acarentar	caress	v. t. | Ant.		
acari	acari	m. | qual.		sem_traducao
acária	acaria	f.		sem_traducao
acaríase	acariasis	f. | gr.		
acaricada	caressed	f. | Bras.		
acariciadamente	tenderly	adv.		
acariciador	soothing	adj.		
acariciante	caressing	adj.		
acariciar	caress	v. t.		
acariciar	pet	v. t.		
acariciar	fondle	v. t.		
acariciar	cherish	v. t.		
acariciar	hug	v. t.		
acariciar	fawn	v. t.		
acariciar	nestle	v. t.		
acariciar	dandle	v. t.		
acariciar	nurse	v. t.		
acariciar	blandish	v. t.		
acariciar	canoodle	v. t.		
acariciar	paddle	v. t.		
acariciar	embosom	v. t.		
acariciar	neck	v. t.		
acariciativo	caressing	adj.		
acaricuara	acaricuara	f. | Bras.		sem_traducao
acaridar-se	to caress	v. p.		
acarídeos	mites	m. pl. | gr.		
acarima	acarima	m.		sem_traducao
acarinhar	cherish	v. t.		
acarinhar	caress	v. t.		
acarinhar	indulge	v. t.		
acarinhar	coddle	v. t.		
acarinhar	pamper	v. t.		
acarinhar	neck	v. t.		
acarinhar	pet	v. t.		
acário	acaria	m.		
acarlinga	acarlinga	f. | Náut. | des.		sem_traducao
acarminado	crimson	adj.		
acarna	acarna	m. | fam. | gr.		sem_traducao
acarneirado	sheep	adj.		
ácaro	mite	m. | gr.		
acarofobia	acarophobia	f. | Med. | gr.	termo_tecnico_cientifico:Med.	
acarophobia	acarophobia	f. | Med. | gr.	termo_tecnico_cientifico:Med.	sem_traducao
acárpio	acarpio	adj. | gr.		sem_traducao
acarraçado	carried	adj.		
acarrado	carried	adj.		
acarradoiro	cart driver	m. | prov. | as. | Cf. | rev.		
acarradouro	acarradouro	m. | prov. | as. | Cf. | rev.		sem_traducao
acarrapatado	acarrapatado	adj.		sem_traducao
acarrar	carry	v. i. | prov. | ﬁg.		
acarrear	to entail	v. t.		
acarredar	to entail	v. t. | Ant. | metáth.		
acarreja	carries	f. | Prov. trasm. | Cp.		
acarrejar	to carry	v. t. | der. | v. i. | prov.		
acarretador	carrier	m. | Prov. alg.		
acarretadura	carriage	f.		
acarretamento	entailment	m.		
acarretar	to entail	v. t.		
acarretar	result in	v. t.		
acarretar	bring about	v. t.		
acarretar	cart	v. t.		
acarrêto	haul	m. | V.		
acarro	car	m. | Prov. alent. | as.		
acartadeira	postwoman	f. | Prov. beir. | num.		
acartar	carry	v. t. | pop.		
acartonado	cardboard	adj.		
acartonar	cartonar	v. t.		
acarvalhar	oak tree	v. | t.		
acarvar	acarvar	v. t. | Ant. | metáth.		sem_traducao
acas	acas	m. pl.		sem_traducao
acasacado	coated	adj.		
acasalar	mate	v. t.		
acasalar	pair	v. t.		
acascarrilhado	gravelly	adj.		
acasear	acasear	v. t. | der.		sem_traducao
acasmurrado	sullen	adj. | Cf.		
acaso	by chance	m. | Adv.		
acaso	chance	m. | Adv.		
acaso	random	m. | Adv.		
acaso	accident	m. | Adv.		
acaso	case	m. | Adv.		
acaso	haphazard	m. | Adv.		
acaso	hazard	m. | Adv.		
acaso	luck	m. | Adv.		
acaso	venture	m. | Adv.		
acaso	fortuity	m. | Adv.		
acaso	hap	m. | Adv.		
acaso	lottery	m. | Adv.		
acasquilhar	to shell	v. t. | V. | p.		
acastanhado	brownish	adj.		
acastanhado	chestnut	adj.		
acastanhado	chesty	adj.		
acastanhar	brownish	v. t.		
acastelado	castellated	v. t.		
acastelamento	castle	m.		
acastelar	to build a castle	v. t.		
acastelhanado	Spanish	adj.		
acastelhanar	to castelnate	v. t.		
acastellado	castellated	v. t.		
acastellamento	castle	m.		
acastellar	acastellar	v. t.		sem_traducao
acastos	chaste	m. pl.		
acasulado	cocoon	adj.		
acasuso	by chance	m. e adj. | des.		
acatadamente	respectfully	adv.		
acatador	comply	m.		
acatadura	acatadura	f.		sem_traducao
acatafasia	acataphasia	f. | Med. | as. | gr.	termo_tecnico_cientifico:Med.	
acataia	acataia	f.		sem_traducao
acataléctico	acataleptic	adj. | gr.		
acatalepsia	acatalepsy	f. | gr.		
acataléptico	acataleptic	adj.		
acatamento	compliance	m.		
acatamento	observance	m.		
acataphasia	acataphasia	f. | Med. | as. | gr.	termo_tecnico_cientifico:Med.	sem_traducao
acatápose	acatápose	f. | Med. | gr.	termo_tecnico_cientifico:Med.	sem_traducao
acatar	comply	v. t. | as. | v. i. | Ant. | lat.		
acatar	obey	v. t. | as. | v. i. | Ant. | lat.		
acatarrado	catarrhal	adj.		
acatarroado	catarrhal	adj. | V.		
acatarsia	akatarsia	f. | Med. | gr.	termo_tecnico_cientifico:Med.	
acatasolado	catasolated	adj.		
acatástico	akatastic	adj. | Med. | gr.	termo_tecnico_cientifico:Med.	
acatável	acceptable	adj.		
acatético	acathectic	adj. | Med. | gr.	termo_tecnico_cientifico:Med.	
acatharsia	akatharsia	f. | Med. | gr.	termo_tecnico_cientifico:Med.	
acathéctico	acathéctico	adj. | Med. | gr.	termo_tecnico_cientifico:Med.	sem_traducao
acathisia	akathisia	f. | Med. | gr.	termo_tecnico_cientifico:Med.	
acathólico	Catholic	adj.		
acatia	acatia	f.		sem_traducao
acatingado	acatingado	adj. | Bras.		sem_traducao
acatisia	akathisia	f. | Med. | gr.	termo_tecnico_cientifico:Med.	
acatitar	accept	v. t. | Cf. | p.		
ácato	acacia	m. | as.		
acatólico	non-Catholic	adj.		
acauan	acauan	m. | Bras. | t. | onom. | der.		sem_traducao
acaudelar	caution	v. t. | Ant.		
acaudilhadamente	cautiously	adv.		
acaudilhar	to lead	v. t.		
acaule	acaule	adj. | Bot. | gr.	termo_tecnico_cientifico:Bot.	sem_traducao
acauteladamente	cautiously	adv.		
acautelado	cautious	adj.		
acautelado	aware	adj.		
acautelado	on the alert	adj.		
acautelamento	precaution	m.		
acautelar	take precautions	v. t.		
acautelar	warn	v. t.		
acava	acava	f. | des.		sem_traducao
acavalado	mounted	adj. | Bras. | n.		
acavalar	mount	v. | t.		
acavaleirar	to ride	v. t.		
